diagnosis_id	synonym	language
1397288146	epileptic attack	en
1397288146	epileptic convulsions	en
1397288146	epileptic fit	en
1397288146	epileptic seizure	en
1397288146	epileptic syndrome NOS	en
1397288146	epileptiform attack	en
1397288146	idiopathic epileptic	en
1397288146	idiopathic seizure disorder	en
1397288146	morbus caducus	en
1397288146	seizure activity	en
1397288146	seizure disorder, so described	en
1397288146	seizure syndrome	en
724748131	Demyelinating disease CNS	en
724748131	Demyelinating diseases of the central nervous system	en
2143513892	opportunistic infectious disease	en
2143513892	opportunistic infestation	en
458687859	sequela of infection	en
458687859	sequela of infectious disease	en
458687859	sequelae of infection	en
458687859	sequelae of infectious disease	en
76906748	CP - [cerebral palsy]	en
76906748	Cerebral palsy NOS	en
76906748	ICP - [infantile cerebral palsy]	en
76906748	cerebral paralysis	en
76906748	congenital cerebral palsy	en
76906748	infantile cerebral palsy	en
1297080916	diseases of myoneural junction and muscle	en
1397803237	Disease of autonomic nervous system	en
1397803237	Disorder of parasympathetic nervous system	en
1397803237	Disorder of peripheral autonomic nervous system	en
1397803237	Disorder of vegetative system	en
1397803237	disease of sympathetic nerve	en
1397803237	disease of sympathetic nervous system	en
1397803237	disorder of sympathetic nerve	en
1397803237	disorder of sympathetic nervous system	en
1397803237	dysautonomia	en
1965146397	TSE - [transmissible spongiform encephalopathy]	en
1965146397	human spongiform encephalopathy	en
1965146397	prion disease of central nervous system	en
1965146397	transmissible spongiform encephalopathy	en
81068077	decreased level of consciousness, NOS	en
81068077	disturbance of consciousness	en
81068077	reduced consciousness, NOS	en
204947892	disorder of brain NOS	en
151219786	brain disease NOS	en
151219786	cerebral disease	en
151219786	lesion of brain	en
151219786	organic brain disease NOS	en
492643118	cranial meningeal cyst	en
492643118	cyst of meninges of brain	en
488744655	intracranial pneumatocele	en
488744655	pneumocephalus	en
1877962228	cerebral cyst NOS	en
1877962228	corpora quadrigemina cyst	en
1877962228	cyst of dura	en
1877962228	subdural cyst	en
1198549092	acquired cerebral deformity	en
1198549092	acquired cerebrum deformity	en
1396288233	brain damage NOS	en
1070133286	mesencephalic tegmental paralysis	en
1070133286	tegmental syndrome	en
372602207	brain indurated	en
372602207	hardening brain	en
1590018465	Dejerine-Roussy syndrome	en
1590018465	Déjerine-Roussy syndrome	en
689481271	brain softening	en
689481271	cerebromalacia	en
689481271	necrotic brain softening	en
689481271	progressive brain softening	en
2057856845	cerebral gliosis	en
2057856845	fibrillary gliosis	en
2057856845	proliferation of glial fibres	en
2088637078	congestive brain	en
1373795985	plexus choroideus calcification	en
1531351827	central respiratory depression	en
1531351827	central respiratory failure	en
1531351827	respiratory centre failure	en
877557231	sleep disordered breathing	en
877557231	sleep hypopnoea	en
996380633	cerebral atrophy	en
996380633	progressive brain atrophy	en
1761931088	cerebellar hemiatrophy	en
1038292737	sleeplessness	en
1359329403	Disorders of the sleep-wake schedule	en
1359329403	disorder of sleep-wake cycle	en
1359329403	disturbed nyctohemeral rhythm	en
1359329403	sleep rhythm problem	en
1359329403	sleep wake schedule disorder nos	en
1597086636	cerebral degeneration	en
1597086636	degenerative brain disorder	en
1503481707	leukoencephalopathy	en
388265288	atrophic lobar brain sclerosis	en
388265288	atrophic lobar sclerosis	en
388265288	circumscribed cerebral atrophy	en
2013305157	cerebral cortex degenerative disease	en
2013305157	cortex degeneration	en
2013305157	cortical degeneration	en
151357345	Parasomnia	en
384984571	skin infestation NOS	en
1516623224	Disorders of psychological development (deprecated)	en
1336943699	Phobia NOS	en
1336943699	Phobic state NOS	en
1336943699	abnormal fear NOS	en
1336943699	fear complex or reaction	en
1336943699	phobic anxiety disorders	en
1336943699	phobic disorder	en
76398729	mood disorders, nonorganic or unspecified	en
486722075	catatonia NOS	en
486722075	catatonic NOS	en
882114523	Mental disorders complicating pregnancy, childbirth and the puerperium	en
882114523	mental disorders affecting management of pregnancy, childbirth or puerperium	en
882114523	pregnancy management affected by mental disorder	en
523677473	Psychological factors affecting physical conditions	en
523677473	psychic factors associated with diseases classified elsewhere	en
523677473	psychological factors affecting other medical conditions	en
1602669465	substance abuse NOS	en
1884115764	Problems of bowel or bladder control	en
2110604642	paraphilias	en
991786158	Trauma- and stressor-related disorders	en
991786158	reaction to severe stress, and adjustment disorders	en
991786158	stress-related disorders	en
991786158	stressor-related disorders	en
302122526	Secondary mental and behavioural disorders	en
302122526	organic mental disorders	en
1671987290	disorder of nutrition	en
1671987290	nutritional disease NOS	en
1671987290	nutritional disturbance	en
155258022	metabolic abnormality	en
155258022	metabolic debility	en
155258022	metabolic defect	en
155258022	metabolic disease	en
155258022	metabolic disruption	en
155258022	metabolic imbalance	en
461716838	disease of endocrine gland	en
461716838	disorder of endocrine gland	en
461716838	disorder of endocrine system	en
461716838	disorder of hormones	en
461716838	dysendocrinism	en
461716838	endocrine deficiency	en
461716838	endocrine disorder NOS	en
461716838	endocrine disturbance NOS	en
461716838	endocrine imbalance	en
461716838	endocrine system disease	en
461716838	endocrinopathy	en
461716838	hormone abnormality	en
461716838	hormone disturbance	en
461716838	hormone disturbance NOS	en
461716838	hormone imbalance	en
762797224	postprocedural musculoskeletal complications	en
944754984	haematologic neoplasm	en
1915134721	postoperative endocrine complications	en
1915134721	postoperative metabolic complications	en
1915134721	postprocedural endocrine disorder	en
1915134721	postprocedural endocrine disturbance	en
1525792972	Disorders affecting predominantly peripheral joints	en
1525792972	Disorders affecting predominantly peripheral limb joints	en
1525792972	arthropathic	en
1525792972	arthropathy NOS	en
1525792972	disease of joint	en
1525792972	joint disorder NOS	en
1525792972	lesion of joint NOS	en
879154182	CNS - [central nervous system] neoplastic disease NOS	en
879154182	central nervous system neoplastic disease NOS	en
879154182	neoplasm of nervous system NOS	en
879154182	neoplasms of brain or central nervous system	en
1989556002	disorder of spine	en
1989556002	dorsopathies	en
1989556002	spinal disorder	en
1507462233	bone deformity	en
166243288	blood dyscrasia NOS	en
531713107	carcinoma in situ	en
531713107	carcinoma in situ NOS	en
531713107	carcinoma in situ of unspecified site	en
531713107	in situ neoplasm	en
2045601748	hyperplasia of bone marrow	en
2045601748	hyperplastic bone marrow	en
789630210	disease of soft tissue NOS	en
789630210	disorder of soft tissue	en
789630210	disorder of soft tissue NOS	en
789630210	unspecified soft tissue disorder, site unspecified	en
224336967	Anaemia, unspecified	en
224336967	anaemia NOS	en
224336967	anaemic NOS	en
224336967	anaemic condition NOS	en
224336967	chronic anaemia	en
224336967	multifactorial anaemia NOS	en
224336967	primary anaemia NOS	en
224336967	unspecified erythrocyte disorder	en
567425990	splenic disease	en
567425990	splenopathy	en
1844086508	interstitial tumour NOS	en
1844086508	multiple tumour nodules	en
1844086508	neoplasia	en
1844086508	neoplasm NOS	en
1844086508	neoplasm growth NOS	en
1844086508	new growth NOS	en
1844086508	tumour NOS	en
1844086508	tumour mass NOS	en
1844086508	tumour of unspecified site	en
1844086508	tumourlet of unspecified site	en
1663360295	arterial hypotension	en
1663360295	arterial hypotension NOS	en
1663360295	decreased blood pressure	en
1663360295	hypopiesis	en
1663360295	hyposystolic pressure	en
1663360295	hypotension NOS	en
1663360295	low blood pressure	en
1964269418	IHD - [ischaemic heart disease], NOS	en
1964269418	Ischaemic heart disease NOS	en
1964269418	cardiac ischaemia, NOS	en
1964269418	cardiac ischemia	en
1964269418	heart ischaemia	en
1964269418	myocardial ischaemia	en
162683166	endocarditis acute or subacute	en
1059873720	CAD - [coronary artery disease]	en
1059873720	coronary arterial disease	en
1059873720	coronary artery disease NOS	en
1059873720	coronary artery disorder	en
1059873720	coronary artery heart disease	en
1059873720	coronary artery insufficiency	en
1059873720	coronary artery obstruction, NOS	en
1059873720	coronary disease NOS	en
1059873720	coronary obstruction, NOS	en
1059873720	multivessel coronary artery disease	en
1296696944	pericardial inflammation	en
1296696944	pericarditis NOS	en
1296696944	pericardium inflammation	en
1458683894	HF- [heart failure]	en
1458683894	acute cardiac decompensation	en
1458683894	acute myocardial decompensation	en
1458683894	cardiac decompensation	en
1458683894	cardiac deficiency	en
1458683894	cardiac failure	en
1458683894	cardiac failure NOS	en
1458683894	chronic cardiac decompensation	en
1458683894	chronic myocardial decompensation	en
1458683894	heart decompensation	en
1458683894	heart failure NOS	en
1458683894	heart insufficiency	en
1458683894	heart weakness	en
1458683894	myocardial decompensation	en
1458683894	myocardial deficiency	en
1458683894	myocardial failure	en
1458683894	myocardial failure NOS	en
1458683894	myocardial insufficiency	en
1458683894	myocardial weakness	en
1458683894	weak heart	en
1121431779	heart valve lesion NOS	en
1121431779	valvular heart disease NOS	en
1121431779	valvulopathy NOS	en
291726710	RHD - [rheumatic heart disease]	en
291726710	chronic inactive rheumatic heart disease	en
291726710	chronic rheumatic carditis	en
291726710	chronic rheumatic heart	en
291726710	inactive RHD - [rheumatic heart disease]	en
291726710	inactive rheumatic heart disease	en
291726710	organ rheumatic heart disease	en
291726710	organic rheumatic heart disease	en
291726710	rheumatic cardiac hypertrophy	en
291726710	rheumatic carditis	en
291726710	rheumatic fever inactive or quiescent with carditis	en
291726710	rheumatic fever inactive or quiescent with heart disease	en
291726710	rheumatic fever inactive or quiescent with pancarditis	en
291726710	rheumatic fever; inactive or quiescent with cardiac hypertrophy	en
291726710	rheumatic heart	en
291726710	rheumatic heart disease	en
291726710	rheumatic heart failure	en
291726710	rheumatic nonischaemic cardiopathy	en
291726710	rheumatic pancarditis	en
2135151223	Heart disease NOS	en
2135151223	cardiac disease NOS	en
1457291912	Abnormal heart rhythm	en
1457291912	arrhythmia NOS	en
1457291912	bradyarrhythmia NOS	en
1457291912	cardiac bradyarrhythmia	en
1457291912	cardiac dysrhythmia	en
1457291912	cardiac rhythm abnormality	en
1457291912	cardiac rhythm disturbance	en
1457291912	cardiac rhythm dysfunction	en
1457291912	dysrhythmia NOS	en
1457291912	heart rhythm disorder NOS	en
1164983645	arterial disease NOS	en
1164983645	arteriolar disease NOS	en
1164983645	arteriopathy	en
1164983645	artery disease NOS	en
1164983645	disorder of artery NOS	en
1025888387	Lymphatic system disease NOS	en
1025888387	Lymphatic system disorders	en
1025888387	lymph disease NOS	en
1025888387	lymph gland disease	en
73902057	blood vessel occlusion	en
73902057	occlusive disease NOS	en
73902057	vascular blockage NOS	en
73902057	vascular calcification NOS	en
73902057	vascular obstruction NOS	en
73902057	vessel occlusion NOS	en
1442588788	vascular ectasia NOS	en
1504180933	circulatory insufficiency NOS	en
1504180933	vascular insufficiency NOS	en
267653319	thromboembolism NOS	en
1459786429	blood vessel dilatation	en
1459786429	haemangiectasia	en
1459786429	phlebarteriectasia	en
1925333068	postoperative cardiac complication	en
1925333068	postoperative circulatory complications	en
1925333068	postoperative heart complications	en
585064432	disease of female genital organ	en
