ancestor_id	descendant_id	depth
2099653030	2099653030	0
745938157	745938157	0
199994446	199994446	0
199994446	1244313347	1
71054868	71054868	0
71054868	898422807	1
71054868	732545534	1
71054868	645789836	1
71054868	71054868/other	1
71054868	153752475	1
71054868	126159890	1
71054868	71054868/unspecified	1
71054868	473620608	1
632678885	632678885	0
632678885	1090397297	1
632678885	1787536062	1
632678885	2070885052	1
632678885	719680227	1
632678885	1160683650	1
632678885	250672167	1
632678885	1086660388	2
632678885	878547687	2
632678885	1631266376	2
632678885	1042612263	2
632678885	1893709378	2
632678885	1409641954	2
632678885	1270531772	2
632678885	563784573	2
632678885	547217443	2
319137994	319137994	0
319137994	1935307603	1
319137994	1301615605	1
319137994	1920236259	1
441191383	441191383	0
349609405	349609405	0
349609405	1471515425	1
349609405	1175671751	1
1691151766	1691151766	0
1031524566	1031524566	0
804913630	804913630	0
1772665991	1772665991	0
1179958923	1179958923	0
1165542120	1165542120	0
1165542120	282250295	1
1165542120	421167374	1
151585220	151585220	0
151585220	1897217136	1
151585220	720922170	1
151585220	2100624916	1
151585220	325060977	1
151585220	600055724	1
151585220	162353278	1
151585220	300864646	1
151585220	86557632	1
151585220	651797574	1
151585220	803593688	1
151585220	605549808	2
1907008459	1907008459	0
661079735	661079735	0
1597562766	1597562766	0
1351188281	1351188281	0
1351188281	582304078	1
1351188281	1999899033	1
1351188281	1713252103	1
1351188281	1351188281/unspecified	1
1351188281	1311451207	1
1351188281	2040206866	2
1351188281	2053602940	2
1351188281	1256224652	2
1351188281	1999899033/unspecified	2
1351188281	1048173030	2
1351188281	1202913385	2
1351188281	1999899033/other	2
1419377474	1419377474	0
171698302/other	171698302/other	0
966410188	966410188	0
330640512	330640512	0
384509194	384509194	0
1685587490	1685587490	0
1685587490	841462147	1
1685587490	3040646	1
478014818	478014818	0
1474007427/unspecified	1474007427/unspecified	0
545773433/other	545773433/other	0
97296328	97296328	0
587523215	587523215	0
1691895196	1691895196	0
336570239	336570239	0
523362516	523362516	0
523362516	1238678535	1
523362516	2032922099	1
523362516	751021006	1
829618737	829618737	0
709184369	709184369	0
709184369	1352356285	1
709184369	1740926441	1
1968656997	1968656997	0
1968656997	275207532	1
1118531333/other	1118531333/other	0
1276949014	1276949014	0
1235049952	1235049952	0
1235049952	1086369154	1
1235049952	547746710	1
1235049952	1235049952/other	1
1235049952	1235049952/unspecified	1
1235049952	573255267	1
1235049952	1814954330	2
435734579	435734579	0
1533191781	1533191781	0
1811856712	1811856712	0
1231916211	1231916211	0
2049911925	2049911925	0
168655119	168655119	0
2145753518/unspecified	2145753518/unspecified	0
117760576	117760576	0
1098244884	1098244884	0
1236934647	1236934647	0
1414909625	1414909625	0
1414909625	1541879411	1
97579611	97579611	0
470174636	470174636	0
470174636	277076074	1
470174636	1620794149	1
470174636	470174636/other	1
67016273	67016273	0
1782854071	1782854071	0
1782854071	875976328	1
2043301158	2043301158	0
1276600959	1276600959	0
1583080489	1583080489	0
1851756318	1851756318	0
1915729450	1915729450	0
1125239276	1125239276	0
1400673921	1400673921	0
1855327019	1855327019	0
277159362	277159362	0
1676588433	1676588433	0
1676588433	766814084	1
1676588433	714690795	1
1676588433	1676588433/other	1
1676588433	1676588433/unspecified	1
1676588433	998231424	1
1676588433	1580466198	1
1676588433	1339202943	1
1676588433	1012312104	1
1676588433	1217486356	1
