icd_11_id	name	icd_11_code
548698273	Inferior	XK4H
2040998541	Contusion	XJ9NV
820615985	Internal	XK49
423444880	Deep	XK16
648538052	Posterior	XK8L
1225495470	Buckle fracture	XJ76E
2006159364	Comminuted fracture	XJ1Z6
1856452751	Burst fracture	XJ7ZH
1013312453	Superficial	XK7F
1451058270	Elevated fracture	XJ0QE
1210711974	Displaced fracture	XJ8PQ
1126329182	Avulsion fracture	XJ36W
39276591	Dislocated fracture	XJ69V
377475788	Abrasion	XJ652
1306914119	Blister, nonthermal	XJ8JK
56999138	Compression fracture	XJ778
870613257	Fissured fracture	XJ5N9
1941319848	Bucket handle or corner fracture	XJ2EL
302675287	Depressed fracture	XJ9UB
1801367926	Longitudinal fracture	XJ6RL
750703299	Impacted fracture	XJ7AT
2036167265	External	XK2H
1520378894	Wedge fracture	XJ6NA
1343005175	Spiral fracture	XJ967
804640573	Transverse fracture	XJ5V7
517952894	Puncture fracture	XJ64N
293807484	Fracture with foreign body	XJ8QL
898974882	Slipped epiphysis fracture	XJ9XQ
718215016	Linear fracture	XJ392
1227306904	Greenstick fracture	XJ45W
1038788978	Unilateral, unspecified	XK70
867680965	Height/length	XK8D
56742367	Weight	XK35
25495220	Infected fracture	XJ4PE
627678743	Bilateral	XK9J
1250515263	Infratentorial	XK0P
1251606506	Brachial	XK62
1607376946	Dialysis lines	XD6F86
1602665224	Dialysis filters	XD8V84
801921263	Physeal fracture	XJ3HH
1646966126	Caudal	XK07
2124327500	Dialysates	XD5C20
1274784063	Missile fracture	XJ4CX
35244869	Dialysis devices - various	XD8VC9
10608722	Supratentorial	XK18
271422288	Left	XK8G
174019778	Surgical drapes	XD3LV8
426090766	Nasopharyngeal tubes	XD9246
1303501022	Standard surgical face masks	XD9LJ2
1506203480	Surgical gowns, standard	XD4E80
1667935725	Naso-gastric tube	XD53A5
419966725	Cranial	XK2K
1702009129	Airway guedel tubes	XD2M69
876572005	Right	XK9K
1483205780	Stethoscopes	XD4ZY0
1331098173	Simple fracture	XJ909
1757939162	Volumetric	XK30
946742112	Dialysis sets	XD83M2
1288679379	Central venous catheters	XD7FF9
1615247063	Laryngeal masks	XD78N3
194291170	Humidifying systems, oxygen administration	XD76M0
1827164620	Clinical trays and bowls	XD97L1
1717958304	Electronic thermometers and end caps	XD2AJ4
1523693791	Bipap/CPAP circuits	XD7EB1
80270816	Endotracheal tubes - accessories	XD3UM6
447496872	Endotracheal tubes, without cuff	XD0T92
987909590	Ventilation filters, antibacterial and antiviral, moisturizer	XD9AF0
666433527	Transport media	XD9YL7
741481413	Urological catheters, self-retained	XD1ZP3
1284447316	Reagents for DNA and/or RNA extraction and preparation : bacteria and/or virus	XD1C76
2102298924	Coronavirus-NA Reagents	XD9S44
2015896330	C-REACTIVE PROTEIN	XD5GV0
270656972	Endotracheal tubes, with cuff	XD37X2
277239226	Tracheolaryngostomy cannulas and kits, with cuff	XD2MG6
1838472608	Continuous positive airway pressure units (CPAP)	XD7EC8
1174584128	Other Virology - RT & POC	XD7M68
278092438	Ultrasound Scanners	XD6EX8
646329211	Laryngoscopes	XD0U91
1223621936	Coronavirus (diagnostic)	XD9N16
1502892684	Samples transport containers - other	XD80L4
1157346122	Osteochondral fracture	XJ4FU
2606596	Respiratory masks and balloons, single-use and reusable	XD5GF6
1923449958	Bulk steam sterilizing units	XD8DR8
738956311	Videolaryngoscopes	XD3JX1
605120096	Transportable ventilators	XD60Z6
112665938	Pulse Oximeters	XD66D8
1250729383	Portable multi-parameter patient monitors	XD4KU3
1597628515	Respiratory suction, probes and systems	XD35D5
