from_diagnosis_id	to_diagnosis_id	relationship_type	is_required	allow_multiple
392898612	1435254666/unspecified	hasCausingCondition	True	True
392898612	1760597414	hasCausingCondition	True	True
392898612	458687859	hasCausingCondition	True	True
392898612	1965146397	hasCausingCondition	True	True
392898612	142052508	hasCausingCondition	True	True
392898612	911707612	hasCausingCondition	True	True
1826431497	657977518	hasManifestation	False	True
1826431497	1188755650	hasManifestation	False	True
1826431497	1079654421	hasManifestation	False	True
1826431497	1024154490	hasManifestation	False	True
410022648	1024154490	hasManifestation	False	True
1585949804/other	588616678	associatedWith	False	True
1585949804/other	1904876434	associatedWith	False	True
1585949804/other	979278646	associatedWith	False	True
1585949804/other	1539889147	associatedWith	False	True
1585949804/other	1412960686	associatedWith	False	True
1585949804/other	1935092859	associatedWith	False	True
1585949804/other	487269828	associatedWith	False	True
1585949804/other	1000704511	associatedWith	False	True
1585949804/other	1104303944	associatedWith	False	True
1585949804/other	1959883044	associatedWith	False	True
1585949804/other	921595235	associatedWith	False	True
1585949804/other	1251496839	associatedWith	False	True
1585949804/other	1136802325	associatedWith	False	True
1585949804/other	145723401	associatedWith	False	True
1585949804/other	985510409	associatedWith	False	True
1585949804/other	1646490591	associatedWith	False	True
1585949804/other	1939815950	associatedWith	False	True
1585949804/other	255141529	associatedWith	False	True
1585949804/other	293771399	associatedWith	False	True
1585949804/other	1435254666/unspecified	associatedWith	False	True
1585949804/other	1760597414	associatedWith	False	True
1585949804/other	458687859	associatedWith	False	True
1585949804/other	1965146397	associatedWith	False	True
1585949804/other	142052508	associatedWith	False	True
1585949804/other	911707612	associatedWith	False	True
1585949804/unspecified	588616678	associatedWith	False	True
1585949804/unspecified	1904876434	associatedWith	False	True
1585949804/unspecified	979278646	associatedWith	False	True
1585949804/unspecified	1539889147	associatedWith	False	True
1585949804/unspecified	1412960686	associatedWith	False	True
1585949804/unspecified	1935092859	associatedWith	False	True
1585949804/unspecified	487269828	associatedWith	False	True
1585949804/unspecified	1000704511	associatedWith	False	True
1585949804/unspecified	1104303944	associatedWith	False	True
1585949804/unspecified	1959883044	associatedWith	False	True
1585949804/unspecified	921595235	associatedWith	False	True
1585949804/unspecified	1251496839	associatedWith	False	True
1585949804/unspecified	1136802325	associatedWith	False	True
1585949804/unspecified	145723401	associatedWith	False	True
1585949804/unspecified	985510409	associatedWith	False	True
1585949804/unspecified	1646490591	associatedWith	False	True
1585949804/unspecified	1939815950	associatedWith	False	True
1585949804/unspecified	255141529	associatedWith	False	True
1585949804/unspecified	293771399	associatedWith	False	True
1585949804/unspecified	1435254666/unspecified	associatedWith	False	True
1585949804/unspecified	1760597414	associatedWith	False	True
1585949804/unspecified	458687859	associatedWith	False	True
1585949804/unspecified	1965146397	associatedWith	False	True
1585949804/unspecified	142052508	associatedWith	False	True
1585949804/unspecified	911707612	associatedWith	False	True
248851702	590662611	hasManifestation	False	True
248851702	2046015098	hasManifestation	False	True
248851702	236924369	associatedWith	False	True
248851702	771273482	associatedWith	False	True
248851702	1508081745	associatedWith	False	True
1508081745	1837013982	associatedWith	False	True
1508081745	137713224	associatedWith	False	True
1508081745	1839818377	associatedWith	False	True
1508081745	1017662917	associatedWith	False	True
1508081745	248851702	associatedWith	False	True
1508081745	1229869827	associatedWith	False	True
1508081745	30418378	associatedWith	False	True
1508081745	738999268	associatedWith	False	True
1508081745	944754984	associatedWith	False	True
1508081745	2131977134	associatedWith	False	True
1508081745	1173624218	associatedWith	False	True
1508081745	902939755	associatedWith	False	True
1508081745	1323682030	associatedWith	False	True
1508081745	1229452918	associatedWith	False	True
1220564554	1623272374	hasManifestation	False	True
1220564554	1594247995	hasManifestation	False	True
1220564554	1181120673	hasManifestation	False	True
1220564554	1092991948	hasManifestation	False	True
1462112221	1435254666	hasCausingCondition	True	True
1462112221	1630407678	hasCausingCondition	True	True
1462112221	1766440644	hasCausingCondition	True	True
1462112221	1954798891	hasCausingCondition	True	True
1462112221	577470983	hasCausingCondition	True	True
1462112221	21500692	hasCausingCondition	True	True
1462112221	334423054	hasCausingCondition	True	True
1462112221	274880002	hasCausingCondition	True	True
1462112221	1296093776	hasCausingCondition	True	True
1462112221	868865918	hasCausingCondition	True	True
1462112221	1218729044	hasCausingCondition	True	True
1462112221	426429380	hasCausingCondition	True	True
1462112221	197934298	hasCausingCondition	True	True
1462112221	1256772020	hasCausingCondition	True	True
1462112221	1639304259	hasCausingCondition	True	True
1462112221	1473673350	hasCausingCondition	True	True
1462112221	30659757	hasCausingCondition	True	True
1462112221	714000734	hasCausingCondition	True	True
1462112221	1306203631	hasCausingCondition	True	True
1462112221	223744320	hasCausingCondition	True	True
236924369	882244568	associatedWith	False	True
236924369	729372485	associatedWith	False	True
236924369	746680558	associatedWith	False	True
236924369	861638547	associatedWith	False	True
236924369	454434138	associatedWith	False	True
236924369	1240824451	associatedWith	False	True
1697630330	1656157931	hasManifestation	False	True
1697630330	684930313	hasManifestation	False	True
1697630330	373833091	hasManifestation	False	True
1697630330	622600769	hasManifestation	False	True
1697630330	1683090852	hasManifestation	False	True
1697630330	678655279	hasManifestation	False	True
