parent_id	child_id
448895267	455013390
455013390	1435254666
455013390	1296093776
455013390	274880002
455013390	1639304259
455013390	334423054
455013390	21500692
455013390	1473673350
455013390	1630407678
455013390	1766440644
455013390	426429380
455013390	30659757
455013390	979408586
455013390	197934298
455013390	223744320
455013390	1218729044
455013390	1596590595
455013390	1954798891
455013390	1249056269
455013390	1843895818
455013390	577470983
455013390	714000734
455013390	1256772020
455013390	718687701
455013390	435227771
455013390	868865918
455013390	231358748
455013390	850137482
455013390	1306203631
1435254666	588616678
1435254666	1585949804
1435254666	1904876434
1435254666	1412960686
1435254666	1136802325
1435254666	1959883044
1435254666	979278646
1435254666	1539889147
1435254666	1935092859
1435254666	985510409
1435254666	255141529
1435254666	145723401
1435254666	1251496839
1435254666	293771399
1435254666	5960175
1435254666	487269828
1435254666	1939815950
1435254666	921595235
1435254666	1104303944
1435254666	1000704511
1435254666	1646490591
1435254666	2143513892
1435254666	458687859
1435254666	1760597414
1435254666	1435254666/unspecified
1296093776	2021326314
1296093776	28995849
1296093776	843843448
1296093776	384289569
1296093776	1719545571
1296093776	1397288146
1296093776	724748131
1296093776	76906748
1296093776	1297080916
1296093776	1119245712
1296093776	1861279867
1296093776	23958598
1296093776	1397803237
1296093776	1965146397
1296093776	1730644960
1296093776	81068077
1296093776	1125774661
1296093776	1743839677
1296093776	204947892
1296093776	151219786
1296093776	492643118
1296093776	488744655
1296093776	1877962228
1296093776	1198549092
1296093776	1396288233
1296093776	1510094736
1296093776	1977439649
1296093776	1070133286
1296093776	372602207
1296093776	1590018465
1296093776	689481271
1296093776	965769057
1296093776	1015880305
1296093776	2057856845
1296093776	803705092
1296093776	269890856
1296093776	2088637078
1296093776	1373795985
1296093776	624473012
1296093776	1531351827
1296093776	2069502399
1296093776	217259658
1296093776	996380633
1296093776	575949163
1296093776	1761931088
1296093776	166622106
1296093776	2059308686
1296093776	1597086636
1296093776	1296093776/unspecified
1296093776	988657115
1296093776	1503481707
1296093776	388265288
1296093776	1672131524
1296093776	2013305157
1296093776	1296093776/other
1296093776	1406449467
274880002	877557231
274880002	2024456840
274880002	49589409
274880002	1038292737
274880002	1359329403
274880002	274880002/other
274880002	151357345
274880002	274880002/unspecified
1639304259	533054712
1639304259	1397253045
1639304259	384984571
1639304259	602989108
1639304259	1173690756
1639304259	141396655
1639304259	489508344
1639304259	157326074
1639304259	1365615047
1639304259	106304476
1639304259	1223380074
1639304259	446523949
1639304259	1569145337
1639304259	1803768976
1639304259	237197715
1639304259	1336446723
1639304259	666745612
1639304259	171514890
1639304259	1639304259/other
1639304259	1639304259/unspecified
334423054	405565289
334423054	1516623224
334423054	1321276661
334423054	1336943699
334423054	76398729
334423054	486722075
334423054	882114523
334423054	523677473
334423054	826065555
334423054	37291724
334423054	1412387537
334423054	1602669465
334423054	213458094
334423054	108180424
334423054	794195577
334423054	1884115764
334423054	310393530
334423054	430567349
334423054	2110604642
334423054	991786158
334423054	302122526
334423054	334423054/unspecified
334423054	334423054/other
21500692	1671987290
21500692	155258022
21500692	461716838
21500692	1915134721
1473673350	762797224
1473673350	252326937
1473673350	1525792972
1473673350	1989556002
1473673350	1473673350/unspecified
1473673350	1473673350/other
1473673350	1507462233
1473673350	1523445293
1473673350	789630210
1630407678	944754984
1630407678	879154182
1630407678	531713107
1630407678	1167133946
1630407678	1158485193
1630407678	1844086508
1630407678	2009008947
1630407678	264268169
426429380	539975693
426429380	1663360295
426429380	966120194
426429380	1964269418
426429380	162683166
426429380	1059873720
426429380	924915526
426429380	1703442464
426429380	1296696944
426429380	1458683894
426429380	1121431779
426429380	291726710
426429380	2135151223
426429380	723430526
426429380	1937796522
426429380	1512587470
426429380	1457291912
426429380	1164983645
426429380	1025888387
426429380	73902057
426429380	1442588788
426429380	1504180933
426429380	267653319
426429380	1459786429
426429380	1850198576
426429380	1925333068
426429380	241496603
426429380	1651137927
426429380	426429380/unspecified
426429380	1742404014
426429380	1980229240
426429380	426429380/other
426429380	1790282721
426429380	1503847496
426429380	1474892326
426429380	520294292
426429380	185569509
1766440644	166243288
1766440644	2045601748
1766440644	224336967
1766440644	1762461746
1766440644	1180562645
1766440644	567425990
1766440644	1766440644/other
1766440644	1766440644/unspecified
30659757	1392133133
30659757	585064432
30659757	1433201931
30659757	1932345217
30659757	1534678903
30659757	1369041370
30659757	30659757/unspecified
30659757	30659757/other
588616678	2092703582
588616678	1834648119
588616678	1688127370
588616678	135352227
588616678	30738976
979408586	870996432
979408586	1413523709
979408586	1597357976
979408586	71556738
979408586	1897222875
979408586	1321407960
979408586	1693181075
979408586	614922797
979408586	815889539
979408586	77159832
979408586	1154280071
979408586	69327534
979408586	1004338415
979408586	411368752
979408586	1948746454
197934298	1971756453
197934298	370028006
197934298	1654881561
197934298	1582386590
197934298	761789312
197934298	390439470
197934298	850824593
197934298	915779102
197934298	1332995100
197934298	760239795
197934298	111658096
197934298	197934298/unspecified
223744320	770439884
223744320	223744320/unspecified
223744320	223744320/other
223744320	754179305
223744320	258484393
223744320	939957586
223744320	775270311
1218729044	601591344
1218729044	1769556904
1218729044	1218729044/unspecified
1218729044	902999289
1218729044	2145129894
1218729044	1111681557
1218729044	1218729044/other
1218729044	1046187143
1596590595	486488173
1596590595	311473325
1954798891	183978472
1954798891	978368870
1954798891	603645706
1954798891	642618805
1954798891	966435382
1954798891	1008515027
1954798891	2115467890
1954798891	587326822
1954798891	1860070272
1954798891	1954798891/other
1954798891	609223181
1954798891	1954798891/unspecified
1843895818	1994504557
1843895818	1564218495
1843895818	922175770
1843895818	1342309622
1843895818	2138796426
1843895818	509543139
1843895818	346645181
1843895818	1088544686
1843895818	181201280
1843895818	1907275850
1843895818	1597934337
1843895818	1810466448
1843895818	14576949
1843895818	1452443292
1843895818	1843895818/other
1843895818	796618507
1249056269	57624301
1249056269	1249056269/other
1249056269	1206995198
1249056269	1249056269/unspecified
577470983	411470068
577470983	73410310
577470983	160690465
577470983	1099536224
577470983	1513302415
577470983	577470983/unspecified
577470983	577470983/other
577470983	554839264
714000734	903303141
714000734	1042184245
714000734	877352786
714000734	973282267
714000734	1421997617
714000734	1864248550
714000734	21112155
714000734	207290928
714000734	299840850
714000734	1781019902
1256772020	1167594753
1256772020	914520008
1256772020	1980672892
1256772020	1594312948
1256772020	1644587915
1256772020	132592466
1256772020	2086488820
1256772020	598093212
1256772020	1294458332
1256772020	1784240230
1256772020	1726554290
1256772020	1305923085
1256772020	587365414
1256772020	1265113635
