icd_11_id	synonym
1688127370	bowel infection
1688127370	catarrhal dysentery
1688127370	diarrhoea and gastroenteritis of presumed infectious origin
1688127370	diarrhoeal disease
1688127370	diarrhoeal disorder
1688127370	diarrhoeal enteritis
1688127370	dysenteric diarrhoea
1688127370	dysentery
1688127370	dysentery NOS
1688127370	enteric infection
1688127370	enteric or intestinal catarrh
1688127370	enteritis NOS
1688127370	enteritis of small intestine
1688127370	enteritis septic
1688127370	enterocolitis
1688127370	epidemic diarrhoea
1688127370	epidemic enteritis
1688127370	gangrenous enteritis
1688127370	gastric flu
1688127370	gastroenteritis septic
1688127370	gastroenteropathy
1688127370	gastrointestinal infection
1688127370	haemorrhagic dysentery
1688127370	haemorrhagic enteritis
1688127370	haemorrhagic gastroenteritis
1688127370	infant diarrhoea
1688127370	infected colitis
1688127370	infected enteritis
1688127370	infection gastroenteritis
1688127370	infectious diarrhoea NOS
1688127370	infectious diarrhoeal disease
1688127370	infectious diarrhoeal disease NOS
1688127370	infectious disease of digestive tract
1688127370	infectious disease of intestine
1688127370	infectious gastroenteritis NOS
1688127370	infective diarrhoea
1688127370	inflammation of small intestine
1688127370	inflammation of small intestine and colon
1688127370	inflammatory diarrhoea
1688127370	intestinal infection
1688127370	intestinal infections without specification of infectious agent
1688127370	intestinal parasitic disease
1688127370	intestinal parasitism
1688127370	intestine infection
944754984	haematologic neoplasm
921595235	Mosquito-borne viral fevers
921595235	Tick-borne viral fevers
921595235	arboviral disease
921595235	arboviral fever NOS
921595235	arbovirus infection
921595235	arbovirus infection NOS
921595235	arthropod-borne viral disease unspecified
921595235	arthropod-borne viral diseases
921595235	arthropod-borne viral infection
921595235	mosquito-borne fever
293771399	sepsis due to unspecified organism
1834648119	bacterial fish poisoning
1834648119	bacterial ichthyotoxism
1834648119	bacterial mussels poisoning
1834648119	bacterial seafood poisoning
1834648119	bacterial shellfish poisoning
1834648119	epidemic bacterial fish poisoning
1834648119	food contamination
1834648119	food infection
135352227	Bacterial enteritis NOS
879154182	CNS - [central nervous system] neoplastic disease NOS
879154182	central nervous system neoplastic disease NOS
879154182	neoplasm of nervous system NOS
879154182	neoplasms of brain or central nervous system
2045601748	hyperplasia of bone marrow
2045601748	hyperplastic bone marrow
567425990	splenic disease
567425990	splenopathy
73410310	Psychogenic dyspareunia
73410310	dyspareunia of nonorganic origin
73410310	psychologic dyspareunia
73410310	psychologic painful sexual act of female
224336967	Anaemia, unspecified
224336967	anaemia NOS
224336967	anaemic NOS
224336967	anaemic condition NOS
224336967	chronic anaemia
224336967	multifactorial anaemia NOS
224336967	primary anaemia NOS
224336967	unspecified erythrocyte disorder
166243288	blood dyscrasia NOS
411470068	gender dysphoria (deprecated)
411470068	transgender
1844086508	interstitial tumour NOS
1844086508	multiple tumour nodules
1844086508	neoplasia
1844086508	neoplasm NOS
1844086508	neoplasm growth NOS
1844086508	new growth NOS
1844086508	tumour NOS
1844086508	tumour mass NOS
1844086508	tumour of unspecified site
1844086508	tumourlet of unspecified site
724748131	Demyelinating disease CNS
724748131	Demyelinating diseases of the central nervous system
384289569	abnormal movement NOS
384289569	basal ganglia disease
384289569	basal ganglion lesion
384289569	disorder of basal ganglia
384289569	extrapyramidal and movement disorders
384289569	extrapyramidal degeneration
384289569	extrapyramidal disease
384289569	extrapyramidal disorder
384289569	extrapyramidal sclerosis
384289569	extrapyramidal syndrome
1397288146	Cerebral seizures
1397288146	Seizure disorder
1397288146	cerebral epilepsy
1397288146	cerebral or cortical dysrhythmia
1397288146	congenital seizure disorder NOS
1397288146	epilepsia
1397288146	epilepsy NOS
1397288146	epileptic attack
1397288146	epileptic convulsions
1397288146	epileptic fit
1397288146	epileptic seizure
1397288146	epileptic syndrome NOS
1397288146	epileptiform attack
1397288146	idiopathic epileptic
1397288146	idiopathic seizure disorder
1397288146	morbus caducus
1397288146	seizure activity
1397288146	seizure disorder, so described
1397288146	seizure syndrome
1965146397	TSE - [transmissible spongiform encephalopathy]
1965146397	human spongiform encephalopathy
1965146397	prion disease of central nervous system
1965146397	transmissible spongiform encephalopathy
1397803237	Disease of autonomic nervous system
1397803237	Disorder of parasympathetic nervous system
1397803237	Disorder of peripheral autonomic nervous system
1397803237	Disorder of vegetative system
1397803237	disease of sympathetic nerve
1397803237	disease of sympathetic nervous system
1397803237	disorder of sympathetic nerve
1397803237	disorder of sympathetic nervous system
1397803237	dysautonomia
1297080916	diseases of myoneural junction and muscle
843843448	CVD - [cerebrovascular disease]
843843448	Cerebrovascular disease with mention of hypertension
843843448	cerebral vascular disease
76906748	CP - [cerebral palsy]
76906748	Cerebral palsy NOS
76906748	ICP - [infantile cerebral palsy]
76906748	cerebral paralysis
76906748	congenital cerebral palsy
76906748	infantile cerebral palsy
81068077	decreased level of consciousness, NOS
81068077	disturbance of consciousness
81068077	reduced consciousness, NOS
151219786	brain disease NOS
151219786	cerebral disease
151219786	lesion of brain
151219786	organic brain disease NOS
204947892	disorder of brain NOS
1503481707	leukoencephalopathy
1198549092	acquired cerebral deformity
1198549092	acquired cerebrum deformity
492643118	cranial meningeal cyst
492643118	cyst of meninges of brain
2057856845	cerebral gliosis
2057856845	fibrillary gliosis
2057856845	proliferation of glial fibres
689481271	brain softening
689481271	cerebromalacia
689481271	necrotic brain softening
689481271	progressive brain softening
1877962228	cerebral cyst NOS
1877962228	corpora quadrigemina cyst
1877962228	cyst of dura
1877962228	subdural cyst
388265288	atrophic lobar brain sclerosis
388265288	atrophic lobar sclerosis
388265288	circumscribed cerebral atrophy
488744655	intracranial pneumatocele
488744655	pneumocephalus
372602207	brain indurated
372602207	hardening brain
1590018465	Dejerine-Roussy syndrome
1590018465	Déjerine-Roussy syndrome
2088637078	congestive brain
1396288233	brain damage NOS
1070133286	mesencephalic tegmental paralysis
1070133286	tegmental syndrome
1531351827	central respiratory depression
1531351827	central respiratory failure
1531351827	respiratory centre failure
2013305157	cerebral cortex degenerative disease
2013305157	cortex degeneration
2013305157	cortical degeneration
1373795985	plexus choroideus calcification
996380633	cerebral atrophy
996380633	progressive brain atrophy
76398729	mood disorders, nonorganic or unspecified
1761931088	cerebellar hemiatrophy
1516623224	Disorders of psychological development (deprecated)
991786158	Trauma- and stressor-related disorders
991786158	reaction to severe stress, and adjustment disorders
991786158	stress-related disorders
991786158	stressor-related disorders
2110604642	paraphilias
1602669465	substance abuse NOS
1597086636	cerebral degeneration
1597086636	degenerative brain disorder
1884115764	Problems of bowel or bladder control
486722075	catatonia NOS
486722075	catatonic NOS
1336943699	Phobia NOS
1336943699	Phobic state NOS
1336943699	abnormal fear NOS
1336943699	fear complex or reaction
1336943699	phobic anxiety disorders
1336943699	phobic disorder
566574133	postoperative eye complications
523677473	Psychological factors affecting physical conditions
523677473	psychic factors associated with diseases classified elsewhere
523677473	psychological factors affecting other medical conditions
696932440	disease of visual pathways
696932440	disorder of afferent visual pathways
696932440	disorder of visual pathways
461716838	disease of endocrine gland
461716838	disorder of endocrine gland
461716838	disorder of endocrine system
461716838	disorder of hormones
461716838	dysendocrinism
461716838	endocrine deficiency
461716838	endocrine disorder NOS
461716838	endocrine disturbance NOS
461716838	endocrine imbalance
461716838	endocrine system disease
461716838	endocrinopathy
461716838	hormone abnormality
461716838	hormone disturbance
461716838	hormone disturbance NOS
461716838	hormone imbalance
1671987290	disorder of nutrition
1671987290	nutritional disease NOS
1671987290	nutritional disturbance
1915134721	postoperative endocrine complications
1915134721	postoperative metabolic complications
1915134721	postprocedural endocrine disorder
1915134721	postprocedural endocrine disturbance
155258022	metabolic abnormality
155258022	metabolic debility
155258022	metabolic defect
155258022	metabolic disease
155258022	metabolic disruption
155258022	metabolic imbalance
882114523	Mental disorders complicating pregnancy, childbirth and the puerperium
882114523	mental disorders affecting management of pregnancy, childbirth or puerperium
882114523	pregnancy management affected by mental disorder
30317704	blindness and low vision
30317704	impaired vision
30317704	sight impaired
302122526	Secondary mental and behavioural disorders
302122526	organic mental disorders
1111681557	inner ear disease NOS
2145129894	postoperative complications of ear
2145129894	postprocedural complications of mastoid
2145129894	postprocedural disease or disorder of ear
2145129894	postprocedural disease or disorder of mastoid
1769556904	disorder of ear
1769556904	ear disease
1769556904	problem of the ear
902999289	Disorder of middle ear and mastoid, unspecified
902999289	Disorder of middle ear or mastoid, unspecified
384984571	skin infestation NOS
601591344	disorders with hearing loss
1507462233	bone deformity
1525792972	Disorders affecting predominantly peripheral joints
1525792972	Disorders affecting predominantly peripheral limb joints
1525792972	arthropathic
1525792972	arthropathy NOS
1525792972	disease of joint
1525792972	joint disorder NOS
1525792972	lesion of joint NOS
789630210	disease of soft tissue NOS
789630210	disorder of soft tissue
789630210	disorder of soft tissue NOS
789630210	unspecified soft tissue disorder, site unspecified
1989556002	disorder of spine
1989556002	dorsopathies
1989556002	spinal disorder
762797224	postprocedural musculoskeletal complications
915779102	LRTI - [lower respiratory tract infection]
915779102	lower respiratory infection
915779102	pulmonary infection NOS
1582386590	chest infection NOS
111658096	diffuse parenchymal lung diseases
111658096	interstitial lung disease NOS
111175353	Madura foot
1968623900	Late effect of tuberculosis
797551270	late effect of mumps
456774323	late effect of diphtheria
1100625760	late effect of trachoma
1654881561	postoperative respiratory complications
1689275505	late effect of leprosy
617741002	late effect of viral encephalitis
617741002	old viral encephalitis
617741002	sequelae of viral encephalitis or encephalomyelitis
270343310	Late effect of poliomyelitis
270343310	old polio NOS
914520008	gastroduodenal disease
914520008	gastroduodenal lesion
1594312948	disease of oesophagus
1594312948	disorder of oesophagus
1594312948	oesophageal disease
1594312948	oesophageal disorder
1167594753	diseases of oral cavity, salivary glands and jaws
1784240230	hepatopathy
1784240230	liver condition NOS
1784240230	liver disease
1784240230	organ liver disease
1294458332	abdominal hernia NOS
1294458332	acquired hernia
1294458332	congenital hernia (except diaphragmatic or hiatus) NOS
1294458332	hernia, not otherwise specified
1294458332	herniation NOS
1294458332	recurrent hernia
587365414	biliary disease, unspecified
851941810	peritoneal disease
452386362	HI - [head injury]
452386362	cranial cerebral trauma
452386362	craniocerebral injuries
452386362	craniocerebral trauma NOS
452386362	craniofacial injury NOS
452386362	head injuries NOS
452386362	head injury NOS
452386362	head trauma NOS
452386362	injury of head
452386362	injury of head region
452386362	scalp injury NOS
452386362	traumatic head injury
598093212	IBD - [inflammatory bowel disease]
2031646451	postoperative gastrointestinal complications
159081656	bilateral involvement of limbs of the same body region
159081656	injuries by type involving two or more body regions
1236563202	poisoning NOS
1642696561	late effects of injuries, or poisoning or of other consequences of external causes
1842013215	injury of neck
1842013215	neck injury
1842013215	neck trauma
805284915	chest injury NOS
805284915	external thoracic injury NOS
805284915	wound of thorax NOS
927970860	Fetus or newborn affected by maternal factors or by complications of pregnancy, labour or delivery
152692065	frostbite NOS
152692065	multiple frostbite NOS
1416283029	upper arm blunt trauma
1004987305	neonatal transient endocrine disease
1004987305	neonatal transient endocrine disorder
1004987305	neonatal transitory endocrine disturbance
911707612	fetal infection
911707612	infection in perinatal period
911707612	infection of newborn NOS
911707612	infections acquired in utero or during birth
911707612	newborn infection
911707612	newborn opportunistic infection
911707612	perinatal infection
383104340	Complication of surgery not elsewhere classified
383104340	complication of medical procedure not elsewhere classified
624443803	birth injury nos
624443803	birth trauma of fetus
624443803	childbirth injury
624443803	childbirth trauma
624443803	injury during delivery
624443803	traumatic lesion during delivery
624443803	unspecified birth trauma
624443803	unspecified obstetrical trauma to fetus
426167863	disturbance of cerebral status of newborn
163532889	Scald
163532889	body charred
163532889	burned
163532889	burns damage
163532889	burns from friction
163532889	burns from hot air and hot gases
163532889	burns from hot objects
163532889	burns from lightning
163532889	burns injury
163532889	external chemical burn or corrosion
163532889	internal chemical burn or corrosion
163532889	thermal burns
163532889	thermal injuries
939957586	Syndrome due to abnormality chromosomal NOS
939957586	chromosomal abnormalities, not elsewhere classified
770439884	Multiple congenital anomalies NOS
770439884	multiple birth defects NOS
770439884	multiple congenital birth defects NOS
770439884	multiple congenital birth deformities NOS
770439884	multiple fetal abnormalities NOS
770439884	severe birth deformities NOS
1508081745	AIDS-like syndrome
1508081745	AIDS-related complex NOS
1508081745	ARC - [aids-related complex]
1508081745	HIV - [human immunodeficiency virus infection]
1508081745	HIV NOS
1508081745	HIV disease
1508081745	HIV disease NOS
1508081745	HIV infection
1508081745	HIV positive NOS
1508081745	acquired immune deficiency syndrome-related complex
1508081745	human immunodeficiency virus infection
1508081745	human immunodeficiency virus positive NOS
1508081745	immunodeficiency due to human immunodeficiency virus infection
1508081745	unspecified human immunodeficiency virus disease
771273482	HIV disease associated with malaria
1319339568	perinatal disorders of temperature regulation
1319339568	temperature regulation disorder, fetus or newborn
1858685964	abnormal pulmonary function of newborn NOS
1858685964	abnormal pulmonary ventilation of newborn NOS
1858685964	neonatal respiratory system disorder
1858685964	newborn respiratory disorder
1858685964	newborn respiratory disease
1858685964	newborn respiratory tract disease
258484393	Structural malformations
1800910986	haemorrhage of newborn
1800910986	neonatal haemorrhage
1800910986	neonatal haemorrhage NOS
236924369	HIV - [human immunodeficiency virus] disease resulting in mycobacterial infection
236924369	HIV disease associated with TB
236924369	HIV disease associated with tuberculosis
236924369	mycobacterium infection resulting from HIV - [human immunodeficiency virus] disease
236924369	tuberculosis resulting from human immunodeficiency virus disease
73322695	assault by other(s)
73322695	assaulted
73322695	severe corporal trauma
851395624	self inflicted injury
851395624	self-inflicted harm
173320128	late effect of external causes of morbidity or mortality
2143219175	war NOS
751399056	EIA - [equine infectious anaemia]
751399056	Nanukayami disease
751399056	Nanukayami fever
751399056	mud fever
751399056	seven-day fever
751399056	swamp fever
1596449540	infection by yersinia pestis
1596449540	pasteurella pestis infection
1596449540	pestilential fever
1596449540	yersinia pestis infection
980168338	Ohara disease
980168338	Pahvant valley fever
980168338	Pahvant valley plague
980168338	deer-fly fever
980168338	deerfly fever
980168338	francis disease
980168338	francisella tularensis infection
980168338	infection due to Francisella tularensis
980168338	pasteurella tularensis infection
980168338	rabbit fever
980168338	yatobyo
1563156715	Infection due to Burkholderia mallei
1563156715	Infection due to Pseudomonas mallei
1563156715	actinobacillosis
1563156715	actinobacillus infection
1563156715	equina
1563156715	equine glanders
1563156715	farce
1563156715	farcy
1563156715	farcy buds
1563156715	farcy cords
1563156715	farcy pipes
1563156715	infection due to actinobacillus mallei
1563156715	infection due to malleomyces mallei
1563156715	maliasmus
1563156715	malleus
1321303663	anthrax infection
1321303663	splenic fever
1026551291	rat-bite fever, unspecified
1026551291	rate-bite fever NOS
63835650	infection by pasteurella pseudotuberculosis
63835650	infection by yersinia pseudotuberculosis
63835650	pseudotuberculosis
63835650	rodent pseudotuberculosis
2003001085	CSD - [cat scratch disease]
2003001085	Cat-scratch fever
2003001085	Rochalimaea henselae infection
2003001085	benign inoculation lymphoreticulosis
2003001085	benign lymphoreticulosis
2003001085	catscratch disease or fever
2003001085	nonbacterial regional lymphadenitis
304649065	pasteurella infection
304649065	shipping fever
304649065	transport fever
730510331	Malta fever
730510331	Mediterranean fever
730510331	brucella infection
730510331	brucellosis infection
730510331	undulant fever
1233304838	Erysipelothrix infection
1932345217	urinary tract disease NOS
793136270	parasite infestation
793136270	parasitic cyst
793136270	parasitic eyelid infestation
793136270	parasitic infection
793136270	parasitic infection of skin
793136270	parasitic infectious disease
793136270	parasitic infestation of skin
793136270	parasitism
793136270	parasitosis
793136270	skin parasites NOS
585064432	disease of female genital organ
585064432	disorder of female genital organs
585064432	disorder of female genital system
585064432	disorder of female genital tract
585064432	gynaecological disease
585064432	gynaecological disorder
585064432	unspecified disorder of female genital organs
903303141	obstetric haemorrhage NOS
877352786	Pregnancy with abortive outcome
877352786	abnormal products of conception
1421997617	Puerperal complication NOS
1421997617	disorder of puerperium
1421997617	postpartum disorder
817691561	protozoal disease or disorder
817691561	protozoal infection
817691561	protozoal infestation
817691561	protozoan infection
817691561	protozoiasis
817691561	protozoosis
659272400	disease due to pentastoma
659272400	pentastoma infestation
1505841618	TAFRO - [Thrombocytopaenia-anasarca-fever-renal insufficiency-organomegaly syndrome]
1439886552	ague
1439886552	disease due to plasmodiidae
1439886552	malaria NOS
1439886552	paludism
1439886552	plasmodiosis
636081762	Undifferentiated connective tissue disease
1173370808	Anticardiolipin syndrome
1173370808	Hughes syndrome
1173370808	antiphospholipid antibody syndrome
1443317238	LE - [lupus erythematosus]
437372167	GVH - [graft-versus-host] disease
437372167	GVH - [graft-versus-host] reaction
437372167	GVHD - [graft-versus-host disease]
437372167	graft-versus-host reaction or disease
330792642	Besnier-Boeck-Schaumann disease
330792642	Boeck's disease
330792642	Boeck's sarcoid
330792642	Hutchinson-Boeck disease or syndrome
330792642	Schaumann's disease or syndrome
180703474	IRIS - [immune reconstitution inflammatory syndrome]
180703474	Immune reconstitution syndrome
2120744975	Polyclonal gammopathy
1084365812	Systemic scleroderma
1084365812	progressive scleroderma
1663360295	arterial hypotension
1663360295	arterial hypotension NOS
1663360295	decreased blood pressure
1663360295	hypopiesis
1663360295	hyposystolic pressure
1663360295	hypotension NOS
1663360295	low blood pressure
1357024926	Bubo due to Haemophilus ducreyi
1357024926	Soft chancre
1357024926	Ulcus molle
616315615	anogenital HSV - [herpes simplex virus] infection
616315615	anogenital herpes
616315615	anogenital herpes simplex virus infection
616315615	anogenital herpesviral infection, unspecified
455894495	Treponema pallidum infection
455894495	infection due to Treponema pallidum NOS
455894495	lues
455894495	luetic disease
455894495	syphilis NOS
1220564554	disease due to trichomonadidae
1220564554	infection by trichomonas
1220564554	trichomonadosis
1220564554	trichomonas infection
1220564554	trichomonas pruritus
1220564554	trichomoniasis
1220564554	trichomonosis
609214049	Gonorrhoea
609214049	Infections due to Neisseria gonorrhoeae
609214049	blennorrhoea
609214049	chronic gonorrhoea
1442394311	HPV - [Human papillomavirus] infection NOS
1442394311	Human papillomavirus infection NOS
764124124	Donovanosis
764124124	Granuloma inguinale tropicum
764124124	Granuloma pudendi tropicum
641342831	Condylomata acuminata
641342831	anogenital warts NOS
641342831	venereal warts
641342831	verrucae anogenitales
1296696944	pericardial inflammation
1296696944	pericarditis NOS
1296696944	pericardium inflammation
162683166	endocarditis acute or subacute
1964269418	IHD - [ischaemic heart disease], NOS
1964269418	Ischaemic heart disease NOS
1964269418	cardiac ischaemia, NOS
1964269418	cardiac ischemia
1964269418	heart ischaemia
1964269418	myocardial ischaemia
1059873720	CAD - [coronary artery disease]
1059873720	coronary arterial disease
1059873720	coronary artery disease NOS
1059873720	coronary artery disorder
1059873720	coronary artery heart disease
1059873720	coronary artery insufficiency
1059873720	coronary artery obstruction, NOS
1059873720	coronary disease NOS
1059873720	coronary obstruction, NOS
1059873720	multivessel coronary artery disease
291726710	RHD - [rheumatic heart disease]
291726710	chronic inactive rheumatic heart disease
291726710	chronic rheumatic carditis
291726710	chronic rheumatic heart
291726710	inactive RHD - [rheumatic heart disease]
291726710	inactive rheumatic heart disease
291726710	organ rheumatic heart disease
291726710	organic rheumatic heart disease
291726710	rheumatic cardiac hypertrophy
291726710	rheumatic carditis
291726710	rheumatic fever inactive or quiescent with carditis
291726710	rheumatic fever inactive or quiescent with heart disease
291726710	rheumatic fever inactive or quiescent with pancarditis
291726710	rheumatic fever; inactive or quiescent with cardiac hypertrophy
291726710	rheumatic heart
291726710	rheumatic heart disease
291726710	rheumatic heart failure
291726710	rheumatic nonischaemic cardiopathy
291726710	rheumatic pancarditis
1121431779	heart valve lesion NOS
1121431779	valvular heart disease NOS
1121431779	valvulopathy NOS
2135151223	Heart disease NOS
2135151223	cardiac disease NOS
1504180933	circulatory insufficiency NOS
1504180933	vascular insufficiency NOS
1980229240	angiectasis NOS
1442588788	vascular ectasia NOS
73902057	blood vessel occlusion
73902057	occlusive disease NOS
73902057	vascular blockage NOS
73902057	vascular calcification NOS
73902057	vascular obstruction NOS
73902057	vessel occlusion NOS
1457291912	Abnormal heart rhythm
1457291912	arrhythmia NOS
1457291912	bradyarrhythmia NOS
1457291912	cardiac bradyarrhythmia
1457291912	cardiac dysrhythmia
1457291912	cardiac rhythm abnormality
1457291912	cardiac rhythm disturbance
1457291912	cardiac rhythm dysfunction
1457291912	dysrhythmia NOS
1457291912	heart rhythm disorder NOS
1025888387	Lymphatic system disease NOS
1025888387	Lymphatic system disorders
1025888387	lymph disease NOS
1025888387	lymph gland disease
1459786429	blood vessel dilatation
1459786429	haemangiectasia
1459786429	phlebarteriectasia
1164983645	arterial disease NOS
1164983645	arteriolar disease NOS
1164983645	arteriopathy
1164983645	artery disease NOS
1164983645	disorder of artery NOS
185569509	embolism NOS
1458683894	HF- [heart failure]
1458683894	acute cardiac decompensation
1458683894	acute myocardial decompensation
1458683894	cardiac decompensation
1458683894	cardiac deficiency
1458683894	cardiac failure
1458683894	cardiac failure NOS
1458683894	chronic cardiac decompensation
1458683894	chronic myocardial decompensation
1458683894	heart decompensation
1458683894	heart failure NOS
1458683894	heart insufficiency
1458683894	heart weakness
1458683894	myocardial decompensation
1458683894	myocardial deficiency
1458683894	myocardial failure
1458683894	myocardial failure NOS
1458683894	myocardial insufficiency
1458683894	myocardial weakness
1458683894	weak heart
392955595	staphylococcal tonsillitis NOS
871612151	ARF - [acute rheumatic fever]
871612151	RHF - [rheumatic fever]
871612151	acute rheumatic attack
1925333068	postoperative cardiac complication
1925333068	postoperative circulatory complications
1925333068	postoperative heart complications
1867840545	Chronic urticaria with macroglobulinaemia
1709907983	Acquired immunodeficiency due to protein loss
239985204	reactive haemophagocytic syndrome
